estados;Variação percentual acumulada no ano (Base: igual período do ano anterior);Variação percentual acumulada nos últimos 12 meses (Base: últimos 12 meses anteriores);Variação percentual mensal (Base: igual mês do ano anterior);Variação percentual mês/mês imediatamente anterior com ajuste sazonal (Base: mês imediatamente anterior)
Amazonas;4.3;4.3;12.3;-1.2
Bahia;-2.5;-2.5;-4.1;-2
Brasil;-1.1;-1.1;-1.3;-0.6
Ceará;1.6;1.6;4;-2.1
Espírito Santo;-15.1;-15.1;-22.8;0.9
Goiás;2.8;2.8;-3.5;-1.8
Mato Grosso;-3.6;-3.6;-10.8;-12.5
Minas Gerais;-5.6;-5.6;-13.9;-3.7
Nordeste;-2.7;-2.7;4.3;0.9
Paraná;5.7;5.7;2.4;5.4
Pará;-1.1;-1.1;1.4;2.5
Pernambuco;-2.2;-2.2;-0.4;-1.6
Rio Grande do Sul;2.5;2.5;-1.7;-2.2
Rio de Janeiro;2.2;2.2;4.1;-4.1
Santa Catarina;2.3;2.3;1.4;-0.3
São Paulo;0;0;-2.3;-1.1
;;;;
"Fonte: ""IBGE - Pesquisa Industrial Mensal - Produção Física""";;;;
